,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
cve_ent,1,2,3,4,7,8,9,5,6,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,0
poblacion,1434635,3634868,804708,1000617,5730367,3801487,9018645,3218720,785153,1868996,6228175,3657048,3086414,8409693,17427790,4825401,2044058,1288571,5610153,4143593,6604451,2279637,1723259,2866142,3156674,3074745,2572287,3650602,1380011,8539862,2259098,1666426,127792286
nombre,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,Nacional
19-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-03-2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-03-2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23-03-2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-03-2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
25-03-2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
26-03-2020,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8
27-03-2020,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6
28-03-2020,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,13
29-03-2020,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8
30-03-2020,0,2,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12
31-03-2020,0,2,1,0,0,0,6,1,0,1,0,0,0,1,2,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,21
01-04-2020,0,2,0,0,0,0,5,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,2,0,3,0,0,1,0,0,19
02-04-2020,0,5,0,0,0,0,5,2,0,0,0,0,0,2,4,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,25
03-04-2020,0,2,0,0,0,2,7,2,0,0,0,0,1,0,3,2,0,0,2,0,1,0,2,0,2,0,1,1,0,1,2,0,31
04-04-2020,0,5,1,0,0,1,4,1,0,0,0,2,0,0,5,1,0,0,0,0,3,0,1,0,5,0,0,1,0,0,0,1,31
05-04-2020,0,1,1,0,0,1,4,2,0,0,2,0,0,1,5,0,0,0,1,0,3,0,1,0,0,2,3,0,0,0,0,0,27
06-04-2020,0,10,0,1,1,2,16,1,0,0,0,2,0,0,4,1,1,0,0,0,4,0,2,1,1,1,3,1,0,0,1,0,53
07-04-2020,0,5,0,0,0,6,10,4,0,0,1,0,0,1,10,0,1,0,2,0,7,0,2,0,3,1,0,0,0,0,2,0,55
08-04-2020,0,6,1,0,0,6,6,0,0,0,0,0,2,1,6,1,1,3,0,0,1,0,3,0,6,1,1,0,1,0,0,0,46
09-04-2020,0,5,0,0,1,4,17,1,0,0,1,1,0,0,2,1,0,1,0,1,2,0,3,0,7,1,1,0,0,1,0,0,50
10-04-2020,1,6,0,1,0,1,22,1,0,0,1,0,0,1,6,1,1,0,0,0,5,1,2,0,10,0,0,0,0,0,3,0,63
11-04-2020,0,9,1,0,1,1,21,0,0,0,0,0,0,1,11,1,0,0,0,1,5,1,2,0,8,1,1,0,0,1,0,0,66
12-04-2020,0,11,1,0,0,4,9,0,0,0,0,1,0,0,16,0,0,1,0,0,2,0,4,0,7,3,2,0,3,3,0,0,67
13-04-2020,1,8,1,0,0,3,14,1,1,0,0,1,0,0,15,4,3,0,1,0,3,0,5,0,8,0,4,0,0,1,1,0,75
14-04-2020,0,11,0,1,0,2,23,4,0,0,2,1,2,0,12,1,1,0,0,1,4,1,3,0,5,1,5,1,1,1,0,0,83
15-04-2020,0,14,0,0,0,6,21,1,0,0,1,3,3,0,18,0,2,0,0,0,2,1,0,0,6,2,3,1,0,0,2,0,86
16-04-2020,0,10,1,0,0,2,23,3,1,0,0,0,0,1,15,2,1,0,1,1,5,0,1,0,3,0,3,0,0,1,1,0,75
17-04-2020,1,19,1,1,0,7,16,0,0,0,3,1,0,1,16,0,3,1,0,1,5,0,4,1,5,1,10,1,1,1,1,0,101
18-04-2020,0,15,0,0,0,4,22,0,0,0,0,3,2,0,22,1,0,0,0,0,7,0,6,1,6,0,9,0,0,2,0,0,100
19-04-2020,1,16,0,2,1,3,28,2,0,0,0,4,1,2,21,2,3,0,1,1,6,0,7,0,4,1,8,0,2,6,1,1,124
20-04-2020,0,11,1,0,0,6,24,4,0,0,0,3,1,1,26,4,3,2,1,1,7,0,10,0,11,3,8,4,0,4,1,0,136
21-04-2020,0,12,1,1,0,8,35,2,0,1,2,6,0,1,29,0,6,0,0,1,3,1,8,0,5,2,3,0,2,3,3,0,135
22-04-2020,1,15,2,2,1,7,24,2,0,0,3,3,2,3,29,1,6,0,2,1,5,0,6,0,8,2,10,0,1,6,1,0,143
23-04-2020,0,15,0,2,1,2,27,2,0,0,3,3,2,1,28,3,6,0,1,4,5,0,7,1,7,1,9,3,1,2,4,1,141
24-04-2020,0,21,1,2,0,14,37,2,0,1,1,1,0,3,43,2,3,0,1,1,4,0,16,0,6,1,8,1,1,4,2,0,176
