,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
cve_ent,1,2,3,4,7,8,9,5,6,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,0
poblacion,1434635,3634868,804708,1000617,5730367,3801487,9018645,3218720,785153,1868996,6228175,3657048,3086414,8409693,17427790,4825401,2044058,1288571,5610153,4143593,6604451,2279637,1723259,2866142,3156674,3074745,2572287,3650602,1380011,8539862,2259098,1666426,127792286
nombre,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,Nacional
31-12-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5
02-01-2020,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,16
03-01-2020,0,2,0,0,0,0,6,0,0,0,1,0,1,3,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,18
04-01-2020,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
05-01-2020,0,1,0,0,0,0,3,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,14
06-01-2020,0,3,0,0,0,0,11,4,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,28
07-01-2020,0,1,0,0,0,0,5,0,1,1,0,0,1,4,5,0,1,0,0,0,3,0,2,0,0,0,0,1,0,2,0,0,27
08-01-2020,0,1,0,0,0,0,4,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,15
09-01-2020,1,3,2,0,0,0,13,0,0,1,0,0,2,14,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,45
10-01-2020,0,3,0,0,0,0,14,0,0,1,1,1,0,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,39
11-01-2020,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
12-01-2020,1,0,0,0,0,0,3,2,0,3,0,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,20
13-01-2020,0,1,0,0,0,0,10,2,0,0,2,0,0,11,2,0,1,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,36
14-01-2020,1,1,0,0,0,0,16,2,0,1,0,0,0,10,5,1,1,0,1,1,0,0,1,0,1,4,1,2,0,1,0,1,51
15-01-2020,2,7,1,0,0,0,10,6,0,2,0,0,1,17,2,0,0,0,3,0,0,0,1,0,1,3,0,2,0,1,0,0,59
16-01-2020,0,0,1,0,0,0,10,2,0,0,0,0,0,12,5,0,0,1,4,0,1,0,1,0,1,0,0,1,1,3,0,0,43
17-01-2020,0,2,0,0,0,0,11,3,0,0,1,0,1,15,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,0,42
18-01-2020,0,0,0,0,0,1,1,0,0,0,1,0,0,7,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,16
19-01-2020,0,1,0,0,0,0,6,1,0,4,1,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,21
20-01-2020,0,5,1,0,1,0,12,4,0,1,1,1,0,12,7,0,1,0,10,0,0,0,1,1,0,0,0,1,1,3,2,0,65
21-01-2020,0,3,0,0,0,0,10,3,0,1,1,0,0,18,4,0,0,0,6,0,1,0,0,1,0,1,0,1,0,1,1,0,52
22-01-2020,0,2,0,0,0,2,8,5,0,1,2,0,1,18,8,0,1,0,3,1,0,0,1,1,0,0,0,1,0,1,0,0,56
23-01-2020,1,1,0,0,0,0,10,3,0,0,0,0,1,8,1,1,0,0,6,1,0,0,2,1,1,3,0,1,0,3,2,0,46
24-01-2020,1,2,0,0,0,0,11,2,0,0,0,0,0,7,3,0,2,0,3,1,2,0,0,1,1,0,0,4,0,6,0,0,46
25-01-2020,0,0,0,0,0,0,2,0,0,1,1,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,15
26-01-2020,0,0,0,0,0,0,13,0,0,1,1,0,0,4,3,0,0,0,3,0,0,0,2,0,0,0,0,0,1,5,0,0,33
27-01-2020,0,3,1,0,1,0,6,5,0,2,0,0,0,11,2,1,0,0,3,0,0,0,0,0,1,1,1,1,1,3,0,0,43
28-01-2020,0,0,1,0,0,0,9,5,0,3,2,0,2,10,2,1,0,0,3,0,2,0,2,0,0,2,0,2,0,3,1,0,50
29-01-2020,0,1,0,0,0,0,3,5,0,0,0,0,0,9,3,0,0,0,2,0,0,0,2,0,0,3,0,0,0,2,0,0,30
30-01-2020,0,1,0,0,0,0,6,2,0,1,0,0,2,10,1,0,0,1,2,0,0,0,2,2,0,4,0,0,0,5,0,0,39
31-01-2020,1,2,0,0,0,0,4,5,0,0,2,0,0,11,1,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,32
01-02-2020,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
02-02-2020,0,0,0,0,1,0,0,1,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12
03-02-2020,0,2,0,0,0,0,0,2,0,2,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13
04-02-2020,0,0,0,0,0,0,11,7,0,0,3,0,1,7,6,0,0,0,1,0,0,0,2,2,7,2,0,0,0,1,1,0,51
05-02-2020,0,4,0,0,0,0,11,2,0,1,1,0,1,8,3,0,1,0,1,0,1,0,4,1,4,1,0,0,0,1,0,0,45
06-02-2020,0,2,0,0,0,0,2,4,0,0,2,0,0,6,5,0,0,0,4,0,0,0,3,1,4,2,0,2,1,4,2,0,44
07-02-2020,0,0,0,0,0,0,5,0,0,1,2,0,1,3,2,0,1,0,3,0,1,1,2,2,0,1,0,0,1,3,0,0,29
08-02-2020,0,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
09-02-2020,0,1,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,16
10-02-2020,0,0,1,0,2,0,17,4,0,4,5,0,0,9,2,0,0,0,6,0,0,0,3,1,2,0,2,3,2,6,0,2,71
11-02-2020,0,1,2,0,0,0,7,3,0,0,2,1,2,6,4,0,0,0,3,0,0,0,0,4,3,3,0,1,1,3,2,1,49
12-02-2020,0,1,1,0,0,0,3,1,0,1,2,0,0,13,3,0,0,0,3,2,0,0,2,0,4,0,1,2,0,1,0,0,40
13-02-2020,0,0,1,0,0,0,4,1,0,0,1,0,1,10,3,0,1,0,5,1,0,0,0,0,3,1,0,0,0,3,0,0,35
14-02-2020,0,0,1,0,0,0,6,1,0,0,0,0,1,8,2,1,0,0,1,0,0,1,0,0,4,0,0,1,0,4,0,1,32
15-02-2020,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,9
16-02-2020,0,0,0,0,0,0,1,0,0,2,3,0,0,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,17
17-02-2020,1,1,0,0,0,0,3,4,0,1,1,0,0,7,2,0,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,28
18-02-2020,1,2,0,0,0,0,3,6,0,1,2,0,0,4,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,3,0,0,30
19-02-2020,1,1,0,0,0,0,3,3,0,0,1,0,0,7,0,0,0,1,1,0,0,0,1,0,4,1,0,1,0,4,1,0,30
20-02-2020,1,0,0,1,0,0,1,2,0,1,0,0,0,6,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,3,0,0,23
21-02-2020,1,2,0,0,0,0,6,0,0,0,0,1,0,6,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,1,0,26
22-02-2020,0,1,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,12
23-02-2020,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9
24-02-2020,0,0,1,0,0,0,7,4,0,1,2,0,0,5,2,0,0,0,2,0,1,0,0,0,0,1,1,0,0,4,0,1,32
25-02-2020,0,1,1,0,0,0,4,3,0,1,1,0,1,2,6,0,0,1,4,0,0,0,1,1,2,0,0,0,0,3,0,0,32
26-02-2020,0,0,2,1,0,1,8,3,0,0,1,0,1,10,4,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,39
27-02-2020,1,0,1,1,0,0,12,5,0,1,1,0,1,4,2,0,0,0,3,1,1,0,1,0,0,1,0,2,0,2,1,0,41
28-02-2020,2,0,0,0,1,3,12,3,0,0,4,0,1,5,4,0,0,1,8,1,4,1,3,1,2,0,0,1,0,6,0,0,63
29-02-2020,0,1,0,0,0,0,3,1,1,1,3,0,2,3,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,24
01-03-2020,0,0,0,0,0,0,3,1,2,0,5,0,0,3,2,0,1,0,2,1,2,0,0,0,0,0,0,0,0,4,1,0,27
02-03-2020,0,3,1,0,0,0,22,0,0,2,3,0,2,12,9,0,0,0,9,0,1,0,6,0,2,2,2,0,0,1,3,1,81
03-03-2020,2,5,0,0,0,1,7,3,0,2,1,1,0,8,12,0,0,1,12,2,0,2,1,0,0,1,2,2,0,6,4,0,75
04-03-2020,0,3,1,0,0,0,14,2,0,1,2,0,2,10,9,0,0,0,6,1,1,1,0,5,1,1,1,0,0,2,2,2,67
05-03-2020,3,0,2,0,0,1,16,2,1,2,3,0,1,3,4,0,0,0,7,0,0,0,2,1,2,1,1,1,1,4,6,0,64
